M5 FULL SCAN — MERCURY-AI V1
Generated: 2026-09-02T00:27:51.240690+00:00
Timeframe: M5
HEZILEX EFFECTIVE: 68
DISTINCT SUPPORTED: 62
PASS ENTRIES: 63
UNSUPPORTED: 5

SUMMARY:
 M5_SCANNED_DISTINCT: 62
 M5_FAILED_DISTINCT: 0
 M5_SCANNED_ENTRIES: 63
 M5_FAILED_ENTRIES: 0
 REAL_SIGNAL: 57
 WAIT_LEGITIMATE: 0
 DATA_UNAVAILABLE: 6
 UNSUPPORTED: 5
 SCAN_ERROR: 0
 PROB_SUM_PASS: True
 DECISION_CONSISTENCY_PASS: True
 POST_RESOLVER_PASS: True

PER-ASSET EVIDENCE:
GBP/NZD -> GBPNZD=X | M5 | REAL_SIGNAL | BUY grade=D conf=0.7024714424242424 confl=100.0 buy=44.97 sell=0.0 wait=55.03 sum=100.0 trade_allowed=True audit=94eb50141250daf4418c4b7b8950f45b9bbd3c0c84e36d44a9b33a3e27a95807 ts=2026-09-02T00:21:09.098881 resolver=BUY/5 consistency=True
NZD/CAD -> NZDCAD=X | M5 | REAL_SIGNAL | SELL grade=D conf=0.6940501241379312 confl=100.0 buy=0.0 sell=44.58 wait=55.42 sum=100.0 trade_allowed=True audit=78fb3943a02396ffde29d05782438bce285e451a679d84e10404ed7722a3e8b7 ts=2026-09-02T00:21:29.158700 resolver=SELL/6 consistency=True
BITCOIN -> BTC-USD | M5 | REAL_SIGNAL | BUY grade=B conf=0.7020792800000001 confl=100.0 buy=60.65 sell=0.0 wait=39.35 sum=100.0 trade_allowed=True audit=d0f0d42575ac6ea2922b96fec5eb7c9895aaf3d5ec3a181f7a38dcb2fdbf05b8 ts=2026-09-02T00:19:31.168887 resolver=BUY/5 consistency=True
LITECOIN | M5 | UNSUPPORTED | reason=NO_SUPPORTED_PUBLIC_INSTRUMENT_NOT_IN_MERCURY_UNIVERSE | internal=LTC-USD
BNB -> BNB-USD | M5 | REAL_SIGNAL | BUY grade=D conf=0.6781669837837838 confl=100.0 buy=44.19 sell=0.0 wait=55.81 sum=100.0 trade_allowed=True audit=6dc778caf3c72ae4dec11be7ae08963d53f635e697c935746ab9df7a22ebe100 ts=2026-09-02T00:21:51.642340 resolver=BUY/5 consistency=True
XRP -> XRP-USD | M5 | REAL_SIGNAL | SELL grade=D conf=0.6881730424242424 confl=100.0 buy=0.0 sell=45.0 wait=55.0 sum=100.0 trade_allowed=True audit=6da57cb65cde4a9f9f6e4ddd285afcb10fad605bf572f0028281fd25c319e635 ts=2026-09-02T00:22:13.347714 resolver=SELL/6 consistency=True
ETHEREUM -> ETH-USD | M5 | REAL_SIGNAL | BUY grade=D conf=0.6883687999999999 confl=100.0 buy=44.76 sell=0.0 wait=55.24 sum=100.0 trade_allowed=True audit=fc77e02a3aaa9c32b40dbf8b69d63136c86988bc54dba3b2a13758afa168bd5d ts=2026-09-02T00:22:34.006464 resolver=BUY/5 consistency=True
SOLANA -> SOL-USD | M5 | REAL_SIGNAL | BUY grade=D conf=0.6886240827586207 confl=100.0 buy=44.79 sell=0.0 wait=55.21 sum=100.0 trade_allowed=True audit=e1ed5a585ef8cfd95b5a5a755f831936f07a0a9edc56a11fd188c2f96da3d115 ts=2026-09-02T00:22:55.612817 resolver=BUY/5 consistency=True
AVAX -> AVAX-USD | M5 | REAL_SIGNAL | BUY grade=D conf=0.6899105939393941 confl=100.0 buy=44.66 sell=0.0 wait=55.34 sum=100.0 trade_allowed=True audit=a2e52bdbfba3d77e2dd9ee718a55abf4f90e135affa6d0cdac9702cd061dc6c5 ts=2026-09-02T00:23:15.793450 resolver=BUY/5 consistency=True
DOGE -> DOGE-USD | M5 | REAL_SIGNAL | BUY grade=D conf=0.6900139555555556 confl=100.0 buy=44.94 sell=0.0 wait=55.06 sum=100.0 trade_allowed=True audit=7290ede6ffae8d76c5cfad30a22a63c80fa48a4eb476e7e0a8438f0a2169fc2a ts=2026-09-02T00:23:37.247892 resolver=BUY/5 consistency=True
